R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
1;Kamber Oliver;EHC Biel;Stürmer;50;9;6;3;66.67;1
2;Earl Robbie;EV Zug;Stürmer;46;9;1;8;11.11;0
3;Spylo Ahren;EHC Biel;Stürmer;47;8;3;5;37.5;0
4;Ulmer Martin;EHC Biel;Stürmer;37;7;4;3;57.14;2
5;Paulsson Marcus;HC Davos;Stürmer;44;7;3;4;42.86;0
6;Martschini Lino;EV Zug;Stürmer;50;7;1;6;14.29;0
7;Daugavins Kaspars;Genève-Servette HC;Stürmer;44;7;4;3;57.14;2
8;Christen Björn;EV Zug;Stürmer;50;7;1;6;14.29;0
9;Wick Roman;ZSC Lions;Stürmer;47;6;1;5;16.67;0
10;Simek Juraj;Genève-Servette HC;Stürmer;50;6;1;5;16.67;0
11;Shannon Ryan;ZSC Lions;Stürmer;49;6;2;4;33.33;0
12;Mueller Peter;Kloten Flyers;Stürmer;49;6;4;2;66.67;2
13;MacMurchy Ryan;EHC Biel;Stürmer;40;6;3;3;50;1
14;Hollenstein Denis;Genève-Servette HC;Stürmer;41;6;3;3;50;0
15;Bärtschi Patrik;ZSC Lions;Stürmer;44;6;1;5;16.67;0
16;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;5;2;3;40;0
17;Setzinger Oliver;Lausanne HC;Stürmer;50;5;1;4;20;0
18;Schremp Robert;EV Zug;Stürmer;42;5;1;4;20;1
19;Mieville Alain;HC Ambri-Piotta;Stürmer;42;5;2;3;40;1
20;Koistinen Ville;HC Davos;Verteidiger;43;5;3;2;60;1
21;Genoway Colby;Lausanne HC;Stürmer;42;5;2;3;40;1
22;Suri Reto;EV Zug;Stürmer;48;4;0;4;0;0
23;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;48;4;0;4;0;0
24;Park Richard;HC Ambri-Piotta;Stürmer;41;4;1;3;25;0
25;Lombardi Matthew;Genève-Servette HC;Stürmer;46;4;0;4;0;0
26;Liniger Michael;Kloten Flyers;Stürmer;48;4;2;2;50;0
27;Guggisberg Peter;HC Davos;Stürmer;35;4;2;2;50;1
28;Giroux Alexandre;HC Ambri-Piotta;Stürmer;46;4;1;3;25;0
29;Cunti Luca;ZSC Lions;Stürmer;46;4;0;4;0;0
30;Bürgler Dario;HC Davos;Stürmer;50;4;1;3;25;1
31;Bang Daniel;Lausanne HC;Stürmer;47;4;1;3;25;0
32;Williams Jason;HC Ambri-Piotta;Stürmer;32;3;0;3;0;0
33;Steiner Daniel;HC Ambri-Piotta;Stürmer;50;3;0;3;0;0
34;Stancescu Victor;Kloten Flyers;Stürmer;47;3;0;3;0;0
35;Santala Tommi;Kloten Flyers;Stürmer;39;3;1;2;33.33;0
36;Ruefenacht Thomas;HC Lugano;Stürmer;37;3;0;3;0;0
37;Rubin Daniel;SC Bern;Stürmer;43;3;1;2;33.33;0
38;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;47;3;1;2;33.33;0
39;Plüss Benny;Fribourg-Gottéron;Stürmer;49;3;1;2;33.33;0
40;Pestoni Inti;HC Ambri-Piotta;Stürmer;49;3;2;1;66.67;1
41;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;45;3;2;1;66.67;0
42;Mottet Killian;Fribourg-Gottéron;Stürmer;49;3;1;2;33.33;0
43;Monnet Thibaut;Fribourg-Gottéron;Stürmer;49;3;0;3;0;0
44;McLean Brett;HC Lugano;Stürmer;50;3;1;2;33.33;1
45;Lehtonen Mikko;HC Lugano;Stürmer;35;3;1;2;33.33;0
46;Hytönen Juha-Pekka;Lausanne HC;Stürmer;49;3;1;2;33.33;0
47;Gardner Ryan;SC Bern;Stürmer;48;3;1;2;33.33;1
48;Ellison Matt;EHC Biel;Stürmer;7;3;0;3;0;0
49;Casutt Corsin;EV Zug;Stürmer;43;3;1;2;33.33;0
50;Burkhalter Loic;EHC Biel;Stürmer;43;3;2;1;66.67;1
51;Bodenmann Simon;Kloten Flyers;Stürmer;38;3;1;2;33.33;1
52;Bell Brendan;EHC Biel;Verteidiger;42;3;2;1;66.67;2
53;Ambühl Andres;HC Davos;Stürmer;49;3;1;2;33.33;1
54;Almond Cody;Genève-Servette HC;Stürmer;44;3;0;3;0;0
55;Wieser Marc;EHC Biel;Stürmer;47;2;0;2;0;0
56;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;40;2;1;1;50;1
57;Plüss Martin;SC Bern;Stürmer;45;2;0;2;0;0
58;Micflikier Jacob;HC Lugano;Stürmer;35;2;0;2;0;0
59;Metropolit Glen;SC Bern;Stürmer;43;2;2;0;100;1
60;Lindgren Perttu;HC Davos;Stürmer;48;2;0;2;0;0
61;Lemm Aurelio;Kloten Flyers;Stürmer;31;2;1;1;50;1
62;Lammer Dominic;EV Zug;Stürmer;46;2;0;2;0;0
63;Holden Josh;EV Zug;Stürmer;39;2;0;2;0;0
64;Froidevaux Etienne;Lausanne HC;Stürmer;49;2;0;2;0;0
65;Fazzini Luca;HC Lugano;Stürmer;34;2;1;1;50;0
66;Domenichelli Hnat;SC Bern;Stürmer;42;2;1;1;50;0
67;Deruns Thomas;Lausanne HC;Stürmer;50;2;0;2;0;0
68;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;33;2;1;1;50;0
69;Corvi Enzo;HC Davos;Stürmer;48;2;0;2;0;0
70;Conz Florian;Lausanne HC;Stürmer;42;2;1;1;50;1
71;Brügger Sandro;Fribourg-Gottéron;Stürmer;30;2;1;1;50;1
72;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;50;2;0;2;0;0
73;Beaudoin Eric;EHC Biel;Stürmer;24;2;0;2;0;0
74;Zangger Sandro;ZSC Lions;Stürmer;23;1;0;1;0;0
75;Wellwood Kyle;EV Zug;Stürmer;9;1;0;1;0;0
76;Weisskopf Dan;SC Rapperswil-Jona Lakers;Verteidiger;26;1;0;1;0;0
77;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;35;1;0;1;0;0
78;Von Arx Reto;HC Davos;Stürmer;41;1;1;0;100;0
79;Von Arx Jan;HC Davos;Verteidiger;47;1;1;0;100;1
80;Stewart Anthony;SC Rapperswil-Jona Lakers;Stürmer;15;1;0;1;0;0
81;Rod Noah;Genève-Servette HC;Stürmer;28;1;1;0;100;1
82;Ritchie Byron;SC Bern;Stürmer;43;1;0;1;0;0
83;Picard Alexandre;Genève-Servette HC;Stürmer;41;1;1;0;100;1
84;Pettersson Fredrik;HC Lugano;Stürmer;20;1;1;0;100;1
85;Petrell Lennart;Genève-Servette HC;Stürmer;50;1;0;1;0;0
86;Nilsson Robert;ZSC Lions;Stürmer;31;1;0;1;0;0
87;Neuenschwander Caryl;Lausanne HC;Stürmer;49;1;0;1;0;0
88;Ness Martin;Fribourg-Gottéron;Stürmer;45;1;0;1;0;0
89;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;33;1;1;0;100;0
90;Murray Brady;HC Lugano;Stürmer;27;1;0;1;0;0
91;Miettinen Antti;Fribourg-Gottéron;Stürmer;34;1;0;1;0;0
92;Loeffel Romain;Genève-Servette HC;Verteidiger;46;1;0;1;0;0
93;Lindemann Sven;EV Zug;Stürmer;43;1;0;1;0;0
94;Lemm Romano;Kloten Flyers;Stürmer;50;1;1;0;100;1
95;Latendresse Guillaume;ZSC Lions;Stürmer;12;1;0;1;0;0
96;Künzle Mike;ZSC Lions;Stürmer;44;1;0;1;0;0
97;Kenins Ronalds;ZSC Lions;Stürmer;39;1;0;1;0;0
98;Keller Ryan;ZSC Lions;Stürmer;37;1;0;1;0;0
99;Jörg Mauro;SC Rapperswil-Jona Lakers;Stürmer;49;1;0;1;0;0
100;Jacquemet Arnaud;Genève-Servette HC;Stürmer;41;1;0;1;0;0
101;Hutchinson Andrew;EV Zug;Verteidiger;33;1;0;1;0;0
102;Hofmann Gregory;HC Davos;Stürmer;41;1;0;1;0;0
103;Genazzi Joël;Lausanne HC;Verteidiger;50;1;1;0;100;0
104;Geering Patrick;ZSC Lions;Verteidiger;49;1;0;1;0;0
105;Furrer Philippe;SC Bern;Verteidiger;16;1;0;1;0;0
106;Fritsche John;Fribourg-Gottéron;Stürmer;43;1;1;0;100;1
107;Fritsche Dan;ZSC Lions;Stürmer;34;1;0;1;0;0
108;Dostoinov Alexei;SC Bern;Stürmer;44;1;1;0;100;0
109;Damon Derek;SC Rapperswil-Jona Lakers;Stürmer;1;1;1;0;100;0
110;Bykov Andrey;Fribourg-Gottéron;Stürmer;34;1;0;1;0;0
111;Burki Codey;Lausanne HC;Stürmer;30;1;0;1;0;0
112;Bühler Cyrill;Kloten Flyers;Stürmer;34;1;0;1;0;0
113;Bergeron Marc-André;ZSC Lions;Verteidiger;46;1;0;1;0;0
114;Baltisberger Chris;ZSC Lions;Stürmer;48;1;0;1;0;0
115;Zangger Marc;ZSC Lions;Verteidiger;4;0;0;0;-;0
116;Wildhaber David;Fribourg-Gottéron;Verteidiger;1;0;0;0;-;0
117;Wieser Dino;HC Davos;Stürmer;45;0;0;0;-;0
118;Widmer Steven;ZSC Lions;Stürmer;1;0;0;0;-;0
119;Wichser Adrian;SC Rapperswil-Jona Lakers;Stürmer;36;0;0;0;-;0
120;Wetzel Philipp;EHC Biel;Stürmer;38;0;0;0;-;0
121;Wellinger Thomas;SC Bern;Verteidiger;31;0;0;0;-;0
122;Walsky Eric;HC Lugano;Stürmer;39;0;0;0;-;0
123;Walser Samuel;HC Davos;Stürmer;50;0;0;0;-;0
124;Walker Julian;HC Lugano;Stürmer;49;0;0;0;-;0
125;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;0;0;0;-;0
126;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;0;0;0;-;0
127;Vogel Jan;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;0;-;0
128;Vermin Joël;SC Bern;Stürmer;49;0;0;0;-;0
129;Vauclair Tristan;Fribourg-Gottéron;Stürmer;41;0;0;0;-;0
130;Vauclair Julien;HC Lugano;Verteidiger;31;0;0;0;-;0
131;Vandermeer James;Kloten Flyers;Verteidiger;49;0;0;0;-;0
132;Untersander Ramon;EHC Biel;Verteidiger;32;0;0;0;-;0
