R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Mueller Peter;Kloten Flyers;Stürmer;49;24;22;13;9;5;18;17;6;5;0;0
2;Paulsson Marcus;HC Davos;Stürmer;44;24;11;7;4;1;15;8;8;2;1;1
3;Wick Roman;ZSC Lions;Stürmer;47;23;25;14;11;6;17;17;6;8;0;0
4;Plüss Benny;Fribourg-Gottéron;Stürmer;49;21;17;12;5;4;16;14;5;2;0;1
5;Bärtschi Patrik;ZSC Lions;Stürmer;44;21;7;5;2;8;14;4;6;3;1;0
6;Lombardi Matthew;Genève-Servette HC;Stürmer;46;20;30;12;18;2;11;17;6;12;3;1
7;Earl Robbie;EV Zug;Stürmer;46;20;18;13;5;4;12;11;8;7;0;0
8;Giroux Alexandre;HC Ambri-Piotta;Stürmer;46;20;18;10;8;4;13;8;7;10;0;0
9;Daugavins Kaspars;Genève-Servette HC;Stürmer;44;18;26;16;10;4;15;17;3;6;0;3
10;Cunti Luca;ZSC Lions;Stürmer;46;18;26;15;11;5;11;19;7;7;0;0
11;McLean Brett;HC Lugano;Stürmer;50;18;26;9;17;3;5;17;11;9;2;0
12;Almond Cody;Genève-Servette HC;Stürmer;44;18;16;11;5;3;14;13;4;3;0;0
13;Hytönen Juha-Pekka;Lausanne HC;Stürmer;49;16;23;12;11;3;8;9;5;14;3;0
14;Spylo Ahren;EHC Biel;Stürmer;47;16;22;15;7;1;9;11;7;11;0;0
15;Bieber Matthias;Kloten Flyers;Stürmer;50;16;17;14;3;4;9;11;6;4;1;2
16;Micflikier Jacob;HC Lugano;Stürmer;35;16;11;9;2;1;11;6;5;5;0;0
17;Monnet Thibaut;Fribourg-Gottéron;Stürmer;49;15;14;6;8;3;9;10;5;4;1;0
18;Martschini Lino;EV Zug;Stürmer;50;15;12;5;7;3;12;8;3;4;0;0
19;Wieser Dino;HC Davos;Stürmer;45;15;11;8;3;3;15;9;0;2;0;0
20;Scherwey Tristan;SC Bern;Stürmer;49;15;10;7;3;5;13;9;1;0;1;1
21;Santala Tommi;Kloten Flyers;Stürmer;39;14;25;10;15;3;9;16;2;9;3;0
22;Plüss Martin;SC Bern;Stürmer;45;14;22;7;15;1;9;14;3;8;2;0
23;Bang Daniel;Lausanne HC;Stürmer;47;14;14;9;5;5;6;11;8;1;0;2
24;Holden Josh;EV Zug;Stürmer;39;13;20;12;8;2;9;10;3;7;1;3
25;Mauldin Greg;Fribourg-Gottéron;Stürmer;43;13;15;10;5;2;11;12;2;3;0;0
26;Lindgren Perttu;HC Davos;Stürmer;48;13;13;7;6;0;8;6;4;6;1;1
27;Bastl Mark;ZSC Lions;Stürmer;50;13;12;5;7;2;10;7;3;5;0;0
28;Wieser Marc;EHC Biel;Stürmer;47;13;8;5;3;3;5;6;8;2;0;0
29;Reichert Marc;HC Ambri-Piotta;Stürmer;47;13;8;3;5;2;9;5;4;2;0;1
30;Suri Reto;EV Zug;Stürmer;48;12;24;16;8;3;7;14;1;9;4;1
31;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;12;21;7;14;0;9;13;3;8;0;0
32;Park Richard;HC Ambri-Piotta;Stürmer;41;12;17;10;7;5;8;11;3;5;1;1
33;Steiner Daniel;HC Ambri-Piotta;Stürmer;50;12;12;9;3;2;7;8;5;4;0;0
34;Domenichelli Hnat;SC Bern;Stürmer;42;12;12;7;5;1;4;5;8;7;0;0
35;Stancescu Victor;Kloten Flyers;Stürmer;47;12;10;4;6;2;7;6;5;4;0;0
36;Romy Kevin;Genève-Servette HC;Stürmer;49;11;23;10;13;3;5;15;5;6;1;2
37;Bodenmann Simon;Kloten Flyers;Stürmer;38;11;18;11;7;2;8;11;3;7;0;0
38;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;45;11;18;10;8;0;4;11;7;7;0;0
39;Guggisberg Peter;HC Davos;Stürmer;35;11;17;14;3;6;10;9;1;7;0;1
40;Ritchie Byron;SC Bern;Stürmer;43;11;16;9;7;1;4;9;6;7;1;0
41;Keller Ryan;ZSC Lions;Stürmer;37;11;10;9;1;3;7;6;3;3;1;1
42;Ruefenacht Thomas;HC Lugano;Stürmer;37;11;10;6;4;2;7;8;3;2;1;0
43;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;48;11;9;7;2;1;7;8;4;1;0;0
44;MacMurchy Ryan;EHC Biel;Stürmer;40;11;8;2;6;2;6;7;3;1;2;0
45;Schnyder Fabian;EV Zug;Stürmer;50;11;7;6;1;0;11;6;0;0;0;1
46;Hollenstein Denis;Genève-Servette HC;Stürmer;41;10;27;14;13;1;6;20;4;7;0;0
47;Nilsson Robert;ZSC Lions;Stürmer;31;10;24;11;13;1;6;13;4;11;0;0
48;Picard Alexandre;Genève-Servette HC;Stürmer;41;10;19;11;8;0;6;19;4;0;0;0
49;Mottet Killian;Fribourg-Gottéron;Stürmer;49;10;14;11;3;2;9;12;1;2;0;0
50;Schäppi Reto;ZSC Lions;Stürmer;49;10;13;10;3;1;10;12;0;0;0;1
51;Mieville Alain;HC Ambri-Piotta;Stürmer;42;10;12;9;3;1;3;9;7;3;0;0
52;Beaudoin Eric;EHC Biel;Stürmer;24;10;8;5;3;1;6;7;3;1;1;0
53;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;33;10;7;2;5;1;8;4;1;3;1;0
54;Schremp Robert;EV Zug;Stürmer;42;9;27;12;15;3;6;16;3;11;0;0
55;Setzinger Oliver;Lausanne HC;Stürmer;50;9;25;13;12;2;7;10;2;14;0;1
56;Liniger Michael;Kloten Flyers;Stürmer;48;9;22;14;8;1;7;12;2;10;0;0
57;Simek Juraj;Genève-Servette HC;Stürmer;50;9;22;12;10;1;8;21;1;1;0;0
58;Gardner Ryan;SC Bern;Stürmer;48;9;21;13;8;4;6;15;3;5;0;1
59;Bürgler Dario;HC Davos;Stürmer;50;9;17;12;5;3;7;13;2;4;0;0
60;Walser Samuel;HC Davos;Stürmer;50;9;10;7;3;0;6;7;1;2;2;1
61;Froidevaux Etienne;Lausanne HC;Stürmer;49;9;10;5;5;1;4;9;4;1;1;0
62;Deruns Thomas;Lausanne HC;Stürmer;50;9;10;4;6;4;6;7;3;3;0;0
63;Ryser Sven;HC Davos;Stürmer;50;9;6;4;2;2;9;6;0;0;0;0
64;Bezina Goran;Genève-Servette HC;Verteidiger;50;8;24;11;13;2;3;12;3;11;2;1
65;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;40;8;22;16;6;3;7;17;1;5;0;0
66;Ambühl Andres;HC Davos;Stürmer;49;8;21;14;7;1;5;10;3;9;0;2
67;Kenins Ronalds;ZSC Lions;Stürmer;39;8;17;14;3;0;7;16;0;0;1;1
68;Noreau Maxim;HC Ambri-Piotta;Verteidiger;35;8;16;10;6;0;4;7;4;9;0;0
69;Christen Björn;EV Zug;Stürmer;50;8;14;10;4;1;5;10;3;4;0;0
70;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;35;8;13;10;3;1;4;9;4;4;0;0
71;Dubé Christian;Fribourg-Gottéron;Stürmer;36;8;12;6;6;2;6;8;2;4;0;0
72;Hasani Adam;Fribourg-Gottéron;Stürmer;40;8;11;8;3;1;6;10;2;1;0;0
73;Williams Jason;HC Ambri-Piotta;Stürmer;32;8;10;5;5;1;3;7;4;3;1;0
74;Koistinen Ville;HC Davos;Verteidiger;43;8;10;4;6;3;5;5;3;4;0;1
75;Duca Paolo;HC Ambri-Piotta;Stürmer;49;8;6;4;2;3;6;5;0;1;2;0
76;Trachsler Morris;ZSC Lions;Stürmer;39;8;6;3;3;2;4;6;3;0;1;0
77;Berger Pascal;SC Bern;Stürmer;46;8;6;3;3;2;8;5;0;1;0;0
78;Neuenschwander Caryl;Lausanne HC;Stürmer;49;8;5;5;0;2;6;4;2;0;0;1
79;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;46;8;3;2;1;1;7;2;1;0;0;1
80;Mercier Jonathan;Genève-Servette HC;Verteidiger;40;8;2;1;1;0;6;2;2;0;0;0
81;Pestoni Inti;HC Ambri-Piotta;Stürmer;49;7;29;16;13;1;7;21;0;8;0;0
82;Metropolit Glen;SC Bern;Stürmer;43;7;28;18;10;1;4;16;2;12;1;0
83;Bergeron Marc-André;ZSC Lions;Verteidiger;46;7;26;9;17;1;5;13;2;11;0;2
